borough,price/night,occupancy_day,annual_income,average,turnaround,averageT,total
Southwark,0.374907701012783,0.844017455311135,0.5507539660898304,0.21228079085643664,1.0,0.7877192091435634,3.557398331557312
Hounslow,0.28645704869997385,0.6198135244235781,0.36712545752173037,0.1082274717437906,0.9854911960061838,0.8917725282562095,3.1506597549076756
Merton,0.3270016431947928,0.7685836950334615,0.4643778955165175,0.21963026213043674,0.8694621482026654,0.7803697378695633,3.2097951198170005
Wandsworth,0.37496915416819315,0.9278419934832032,0.5814801550124788,0.30683778047237226,0.8530465283067936,0.6931622195276277,3.4305000504982965
Newham,0.14588249785283341,0.6310648833046333,0.2083176505796876,0.06913222064919977,0.799101777617444,0.9308677793508002,2.715234588705399
Tower Hamlets,0.21502260164526504,0.7064245476749562,0.30942528836206934,0.14796392347069415,0.7802929704188046,0.8520360765293058,2.8632014846304013
Greenwich,0.18416740663731251,0.5938705815594072,0.242668418376021,0.09992783847669351,0.779669974730588,0.9000721615233065,2.700448542826635
Sutton,0.1551041354037873,0.589044490770259,0.20845157922062768,0.07751015234334496,0.7721095740456911,0.922489847656655,2.64719962709702
Brent,0.2511653307898026,0.6329138121548867,0.330502121938219,0.18611007065904,0.7193583532018328,0.81388992934096,2.747829547425701
Westminster,1.0,0.34976436988897497,1.0000000000000002,0.6948805525752775,0.7169158871268362,0.3051194474247225,3.3717997044405337
Lambeth,0.24299229008313133,0.8201558161304949,0.3765552731979344,0.2219855634629913,0.7168586112219928,0.7780144365370087,2.9345764271705623
Hammersmith and Fulham,0.5093093873117525,0.6553847423701331,0.6387732873588057,0.4474003864133183,0.6687576141867035,0.5525996135866817,3.0248246448140765
Islington,0.33584346242724056,0.8983259659455456,0.5200053107952927,0.35550660140386964,0.6657748369268555,0.6444933985961303,3.0644429746910644
Richmond upon Thames,0.4057108017695978,0.6982637485382255,0.5341382632141933,0.3718201844880235,0.6552308700198504,0.6281798155119764,2.9215234990538432
Hackney,0.2077976778741863,1.0,0.38239834172170223,0.2719653540041181,0.6045359482230674,0.728034645995882,2.9227666138148383
Ealing,0.18382264953443067,0.651658672907963,0.25761375600453623,0.18441713169583812,0.5595413380491872,0.8155828683041619,2.468219284800279
Lewisham,0.07113310899800601,0.8725518495712041,0.17178453137679311,0.11704450948151629,0.54068371509068,0.8829554905184838,2.539108695555167
Barking and Dagenham,0.013359847047496543,0.47554951861869954,0.02784669545037055,0.0,0.5087547660284919,1.0,2.025510827145059
Haringey,0.19178543331968761,0.8419771722819411,0.3182037242765759,0.26304250758119224,0.4856946544823404,0.7369574924188078,2.5746184767793525
Kingston upon Thames,0.1398883173411914,0.7990886293787454,0.24211547389108373,0.19952872811611871,0.4728661014280182,0.8004712718838813,2.45442979392292
Camden,0.5372779011439608,0.5668136017225724,0.6315190284591783,0.5746723634062778,0.42557028402533503,0.4253276365937222,2.586508451944769
Waltham Forest,0.07561827926874631,0.7258554860212834,0.1469238710768353,0.13954261021561692,0.3794768577197867,0.860457389784383,2.188331883871035
City of London,0.7354658263208242,0.0,0.5394176593413378,0.526462752168549,0.35101286431522416,0.473537247831451,2.0994335978088374
Barnet,0.20303251384184345,0.4737806271174616,0.2310131535873396,0.2338276715105883,0.334408903647059,0.7661723284894117,2.0084075266831154
Havering,0.05735982952898805,0.36689407856959,0.05345785270343206,0.07000090995469271,0.2915796186062565,0.9299990900453072,1.6992904694535738
Croydon,0.00949695636954656,0.5451729222624628,0.03581303708990036,0.0707024215375695,0.2037909987901143,0.9292975784624304,1.7235714929744546
Kensington and Chelsea,0.9003897161309302,0.36279777707593364,0.9079730462448621,1.0,0.1840324332903034,0.0,2.3551929727420293
Bexley,0.0,0.39566182225762825,0.0,0.040459125046820366,0.16485142578243228,0.9595408749531796,1.5200541229932403
Harrow,0.11552099468524907,0.3317245360542287,0.10451816335621711,0.1593912614723067,0.13691963053418132,0.8406087385276932,1.5292920631575695
Enfield,0.05043123136110078,0.36949303155489077,0.046921257983975506,0.09968765276128927,0.12329308129907246,0.9003123472387107,1.4904509494377502
Redbridge,0.0742421285784729,0.3433279096957802,0.0657223647705742,0.12056476443812414,0.12202870552436873,0.8794352355618759,1.4847563441310718
Bromley,0.04493816037216697,0.5272682727115812,0.0717124912634372,0.14584669167983982,0.04040160788235503,0.8541533083201602,1.5384738405497007
Hillingdon,0.06073732555543271,0.2567679710314461,0.03477192882890162,0.11206938510340686,-2.220446049250313e-16,0.8879306148965931,1.2402078403123733
